the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.024856015032 29.928114644834),380920,MALAK 2000 INC,EVERGREEN SUPERMARKET,3011 SANDRA DR,,NEW ORLEANS,LA,70114,504-368-1581,1101 - CONVENIENCE STORES
POINT (-90.070314950856 29.965630408797),380958,LABAN FOOD INC,J C FOOD MARKET,1532 ST PHILIP ST,,NEW ORLEANS,LA,70116,504-221-8270,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.090535669739 29.937588147639),381107,TCVAN ASSOCIATION LLC,SOUL'S SEAFOOD MARKET #1,2732 LASALLE ST,,NEW ORLEANS,LA,70113,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.062683322551 29.966698347872),380824,THE ORANGE STORE,AYYAD RAMPART,1700 N RAMPART ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.063293825977 29.94773526893),380898,HILTON MANAGEMENT LLC,CRESCENT CITY MARKETPLACE,2 POYDRAS ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.038540952832 29.97745500641),381093,"SAVERS, LLC",SAVERS,3233 N GALVEZ ST,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.073446046224 29.970581359801),381018,AWAD INC,NEIGHBORHOOD FOOD MART,2101 GOVERNOR NICHOLLS ST,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.911706155856 30.037540629644),381010,"H.A.T., INC",MINH CANH SUPERMARKET,4661 ALCEE FORTIER BLVD,C&D,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.072466457336 29.958093041992),381021,NEW IMAGE SUPERMARKET IN,NEW IMAGE MARKET,1216 BIENVILLE ST,,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
POINT (-90.049105787516 29.972033373327),380983,LB SAINTS FOOD STORE CORP.,LB SAINTS FOOD STORE,2601 N VILLERE ST,,NEW ORLEANS,LA,70117,504-945-7799,1101 - CONVENIENCE STORES
POINT (-90.062963511272 29.970084731391),380979,"CANGELOSI JR, LAWRENCE",LARRY & LARRY GROCERY,1340 ANNETTE ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.078000362258 29.94062806453),380889,"CK'S HOT SHOPPE, LLC",CK'S  HOT SHOPPE,1433 BARONNE ST,,NEW ORLEANS,LA,70113,504-309-5150,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.071449071823 29.982083405195),381006,"MID CITY MARKET,L.L.C.",MID CITY MARKET,2526 ST BERNARD AVE,,NEW ORLEANS,LA,70119,504-324-9273,1104 - FISH & SEAFOOD MARKETS
POINT (-90.13128437985 29.956317025152),380913,"DON'S FOOD MART, LLC",DON'S FOOD  MART,1730 EAGLE ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
POINT (-90.012022035652 29.923630354496),381166,WINN DIXIE MONTGOMERY LLC,WINN DIXIE #1426,3008 HOLIDAY DR,,NEW ORLEANS,LA,70131,504-398-0313,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.087753150927 29.924002275098),380989,HISSHO SUSHI,"LWIN FAMILY CO, LLC",3233 MAGAZINE ST,,NEW ORLEANS,LA,70115,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.096752672849 29.954871356058),381066,"RD AMERICA, LLC",RESTAURANT DEPOT,1111 S BROAD ST,,NEW ORLEANS,LA,70125,504-822-8881,"1501 - DURABLE GOODS WHLSRS, OTHER MISC"
POINT (-90.033606593077 29.965625339),380997,"ALLADDIN ENTERPRISES, INC.",MAGNOLIA SUPERMARKET # 3,4131 ST CLAUDE AVE,,NEW ORLEANS,LA,70117-5336,504-948-2224,1101 - CONVENIENCE STORES
POINT (-90.049021257163 29.974264440136),380891,"AWNI, INC",CLAIBORNE SUPERMARKET,2541 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-948-2327,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.927778207906 30.032576046553),381003,KIM & VU LLC,MATT'S GROCERY,4655 MICHOUD BLVD,,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),380894,"JOS FEIN CATERERS, INC",COURT LIQUORS,618-620 BOURBON ST,,NEW ORLEANS,LA,70130,504-581-5804,1101 - CONVENIENCE STORES
POINT (-90.047561151371 29.976758936891),381090,"MORAN FOODS, LLC",SAVE A LOT #379-5324,1841 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-942-0897,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.084498011128 29.980560028655),380869,CANSECO'S ESPLANADE LLC,CANSECO'S ESPLANADE MARKET,3135 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-322-2594,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.053327759356 29.997409977523),380857,SANAD LLC,BROWN DERBY #4,3737 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.075488832888 29.949935750897),380947,NUMACHI LLC,HANDY PIX,1100 POYDRAS ST,110,NEW ORLEANS,LA,70163,,1101 - CONVENIENCE STORES
POINT (-90.076793346064 29.97738118601),380843,"DON DO, INC",BROADVIEW SEAFOOD,1468 N BROAD ST,,NEW ORLEANS,LA,70119,504-945-2118,1104 - FISH & SEAFOOD MARKETS
POINT (-89.972487173775 30.046546723894),380972,"ND GROUP ENTERPRISES, IN",KWIK PIK,11040 MORRISON RD,,NEW ORLEANS,LA,70127,504-606-2833,1101 - CONVENIENCE STORES
POINT (-90.049790320384 29.972151382527),380854,BROTHERS FRANKLIN INC,BROTHERS FRANKLIN,2509 N VILLERE ST,,NEW ORLEANS,LA,70117,504-495-3342,1101 - CONVENIENCE STORES
POINT (-90.070673344235 29.984927088372),380902,K & O BROTHERS LLC,D & M DISCOUNT STORE,2037 N BROAD ST,,NEW ORLEANS,LA,70119,504-235-3478,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.991753300368 29.90525121439),380965,"JULIAN FOOD STORE,LLC",JULIAN FOOD STORE,4500 WOODLAND DR,,NEW ORLEANS,LA,70131,,1101 - CONVENIENCE STORES
POINT (-90.111735057594 29.956559532172),380900,HENRIETTE KAMBI,CTN GROCERY,2931 BROADWAY ST,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),380973,ATILANO LOPEZ LUIS,LA FAVORITA MARKET,3640 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-217-1184,1101 - CONVENIENCE STORES
POINT (-90.066684402037 29.947361153343),380975,"LAFAYETTE MINI MART, LLC",LAFAYETTE MINI MART,322 LAFAYETTE ST,,NEW ORLEANS,LA,70130,504-522-1710,1101 - CONVENIENCE STORES
POINT (-90.073713765863 29.961238587475),381046,"PIAZZA SR, VINCENT",PAUL PIAZZA & SON INC,1552 ST LOUIS ST,,NEW ORLEANS,LA,70112,504-524-6011,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.076989294557 29.951922709288),381088,"MORAN FOODS, LLC",SAVE -A- LOT #466-6435,3033 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-866-6637,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.071234696353 29.938076735378),380926,"FAT BOY PANTRY LOUISIANA,LLC",FAT BOY PANTRY,1302 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.13026444504 29.95013195612),381118,MAMA INC,STOP & CARRY GROCERY,1328 DANTE ST,,NEW ORLEANS,LA,70118,504-866-8347,1101 - CONVENIENCE STORES
POINT (-90.070033208846 29.951946172854),381083,"LA 405 CHEN, LLC",S & K GIFT AND SNACKS,201 ST CHARLES AVE,#223,NEW ORLEANS,LA,70170,,1101 - CONVENIENCE STORES
POINT (-90.061506984558 29.964690060342),380919,ALLAN'S GROCERY LLC,ESPLANADE MINI MART,839 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-329-8179,1101 - CONVENIENCE STORES
POINT (-90.092276675018 29.939631140245),380874,"CENTRAL CITY GROCERY #3, INC.",CENTRAL CITY GROCERY #3,2611 WASHINGTON AVE,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-89.991662452936 30.028219649029),381150,UR FAMILY MATTERS INC,UR FAMILY MATTERS,5741 CROWDER BLVD,,NEW ORLEANS,LA,70127,404-915-8892,1101 - CONVENIENCE STORES
POINT (-90.073184010579 29.98903338961),381098,"SEATON, CAROLYN         SEATON, EDDIE",SEATON SEAFOOD MARKET,3040 PARIS AVE,,NEW ORLEANS,LA,70119,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.088267302362 29.942792436572),380995,"JAOUMARI, INC",MAGNOLIA SUPERMARKET,2201 MAGNOLIA ST,,NEW ORLEANS,LA,70113,504-523-0017,1101 - CONVENIENCE STORES
POINT (-90.071760684628 29.988947579743),381012,MANIFESTED MIRACLES,MIRACLES TO GO,3040 BRUXELLES ST,,NEW ORLEANS,LA,70119,504-252-8290,1101 - CONVENIENCE STORES
POINT (-90.0598851894 30.012307809027),380868,"CANSECO'S ELYSIAN FIELDS, LLC",CANSECO'S ELYSIAN FIELDS,5217 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-304-9805,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.111533790201 30.020637775745),381071,M ROBERT ENTERPRISES INC,ROBERT FRESH MARKET(ROBT E LEE),135 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,504-885-7005,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.070350261102 29.950865290084),381013,ABDUL S KHAN,MOMS MINI MART,327 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-596-2223,1101 - CONVENIENCE STORES
POINT (-90.068797991638 29.955838482173),380822,ARNAUD'S FOOD COMPANY IN,ARNAUD'S FOOD COMPANY'S  INC,813 BIENVILLE ST,,NEW ORLEANS,LA,70112,504-523-5433,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-89.991780649006 30.029722439012),381086,SAMI LLC,SAM'S MEAT MARKET,8426 I 10 E SERVICE RD,,NEW ORLEANS,LA,70127,,1103 - MEAT MARKETS
POINT (-90.116647522993 29.916272459096),381165,WINN DIXIE MONTGOMERY LLC,WINN DIXIE  #1430,5400 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-895-2966,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.110329331671 29.981336791496),381135,THE HERB IMPORT COMPANY INC,THE HERB IMPORT COMPANY,5055 CANAL ST,,NEW ORLEANS,LA,70119,504-488-4889,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.080712101078 29.923530885399),381028,BACKUP JIC LLC,NICKS SUPERMARKET,746 WASHINGTON AVE,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.037161039214 29.94512400381),380852,NEWTON BROTHERS INC,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES
POINT (-90.125729836596 29.954415480643),381149,UPTOWN DANTE SUPERMARKET INC,UPTOWN SUPERMARKET,1940 DANTE ST,,NEW ORLEANS,LA,70118,504-455-4111,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.022968620619 29.940426723668),380818,"ALGIERS SUPERMARKET,LLC",ALGIERS SUPERMARKET,3141 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.046917508466 29.981273777034),380998,VIEN MAN INC,MAMA'S COOKING,2722 N TONTI ST,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.001739059241 30.011739043564),381016,"QUYNH NGUYEN, INC.",NATAL'S SUPERMARKET,7342 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-362-3911,1101 - CONVENIENCE STORES
POINT (-90.077557427351 29.971907910096),380953,KAKI INC,IDEAL SUPER MARKET,2436 URSULINES AVE,,NEW ORLEANS,LA,70119,504-821-9339,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.100564500453 29.951143569012),380924,MONA REALTY LLC,FAST STOP,2745 S BROAD ST,,NEW ORLEANS,LA,70125,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),380859,KEITH BUNN,BUNN'S GROCERY,2438 BIENVILLE ST,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.068486455332 29.941694279561),381049,POEYFARRE MARKET LLC,POEYFARRE MARKET,925 POEYFARRE ST,,NEW ORLEANS,LA,70130,504-522-5252,1101 - CONVENIENCE STORES
POINT (-90.067831029863 29.950467848896),381019,"NESBIT'S MAGAZINE STREET MARKET, LLC",NESBIT'S MAGAZINE STREET MARKET,301 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.128047904994 29.940828422897),380928,ANNAM INC,FAVORI,7507 MAPLE ST,,NEW ORLEANS,LA,70118,504-866-8140,1101 - CONVENIENCE STORES
POINT (-90.058664858541 29.960791786166),380957,"KIM, YOUNG DUK",J C DELI,65 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-522-2961,1101 - CONVENIENCE STORES
POINT (-90.097667892428 29.96474221975),380856,NEW CITY MART LLC,BROWN DERBY #3,3326 TULANE AVE,,NEW ORLEANS,LA,70119,504-827-7899,1101 - CONVENIENCE STORES
POINT (-89.961463467552 30.04342760691),381157,"WAL-MART LOUISIANA, LLC",WAL-MART #912(EASTERN NO),6000 BULLARD AVE,,NEW ORLEANS,LA,70128,479-204-6234,"1119 - GENERAL MERCHANDISE STORES, ALL OTH"
POINT (-90.066028246976 29.961328059028),381054,ROSEMARY & TRANG INC,QUARTER GROCERY & DELI,836 BURGUNDY ST,,NEW ORLEANS,LA,70116,504-529-2702,1101 - CONVENIENCE STORES
POINT (-90.09299298299 29.931916183708),380922,FAMILY DISCOUNT STORE INC,FAMILY DISCOUNT STORE,1935 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-895-4272,1101 - CONVENIENCE STORES
POINT (-90.076688850127 29.962241854081),380941,"HILLIARD, GLORIA",GLORIA'S GROCERY,1800 CONTI ST,,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
POINT (-90.058567554095 29.961611404824),381103,BAZAAR LLC,SMALL MART,1303 DECATUR ST,,NEW ORLEANS,LA,70116,504-330-5716,1101 - CONVENIENCE STORES
POINT (-90.054985111701 29.974855139885),380960,JACK MEAT MARKET INC.,JACK MEAT MARKET,2279 N DERBIGNY ST,,NEW ORLEANS,LA,70117,504-947-3073,1101 - CONVENIENCE STORES
POINT (-90.081520352995 29.967798519509),381072,ROCHEBLAVE FOOD STORE INC,ROCHEBLAVE FOOD STORE,601 N ROCHEBLAVE ST,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.125334422119 29.945537782293),380813,B & N FOOD STORE INC,ADAMS STREET GROCERY,1309 ADAMS ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
POINT (-90.01927611874 29.938688005792),380817,ALGIERS DISCOUNT FOOD STORE INC,ALGIERS DISCOUNT FOOD STORE,3549 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.074406818648 29.928523677809),380826,JOSEPHINE FOOD STORE LLC,B & S FOOD STORE,842 JOSEPHINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381133,MAGNOLIA ENTERPRISES INC,THE EVERYTHING SHOPPE,444 CANAL ST,,NEW ORLEANS,LA,70130,504-586-0703,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.037785477168 29.966017663187),381009,MMBS INC.,MIKE'S FOOD STORE,3708 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-390-7943,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.097981138239 29.978399614138),380896,CREOLE COUNTRY INC,CREOLE COUNTRY INC,512 DAVID ST,,NEW ORLEANS,LA,70119,,1103 - MEAT MARKETS
POINT (-90.078228009937 29.993840794513),381119,STOPJOCKIN,STOPJOCKIN,3600 JUMONVILLE ST,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES
POINT (-90.0205062234 29.962674429417),381041,"THE AMAZING GOOD SHEPHERD,LLC",ORANGE FOOD STORE,5131 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.064357803439 29.961789081768),381002,TEN-O-ONE CORPORATION,MATASSA'S MARKET,1001 DAUPHINE ST,,NEW ORLEANS,LA,70116,504-412-8700,1101 - CONVENIENCE STORES
POINT (-90.113419520221 29.946207863374),380887,CIRCLE K STORES INC,CIRCLE K #4906,6229 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-861-9107,1101 - CONVENIENCE STORES
POINT (-90.037680912824 29.945147364747),380836,BIG DADDY'S SEAFOOD,BIG DADDY'S SEAFOOD,1900 NEWTON ST,,NEW ORLEANS,LA,70114,,1104 - FISH & SEAFOOD MARKETS
POINT (-89.739391994785 30.164068736218),381155,"VINOT'S MARINA, LLC","VINOT'S MARINA, LLC",27010 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.056054896082 29.968358854848),381069,ST. CLAUDE FRESH MARKET LLC,ROBERT FRESH MARKET,2222 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381058,JAFAR ABUKHALIL INC,QUICKY'S,2701 TULANE AVE,,NEW ORLEANS,LA,70119,504-822-3429,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.91223667081 30.037409320956),381154,HANG VU ENTERPRISES     INC,VIET MY SUPERMARKET,4656 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,504-254-0682,1101 - CONVENIENCE STORES
POINT (-90.014875401181 30.010130317941),380929,SHIVAS LLC,FOOD PLUS,6232 CHEF MENTEUR HWY,UNIT A,NEW ORLEANS,LA,70126,504-246-2628,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.091364216493 29.944658711819),381108,"ZAK DANIELS,LLC",SOUTH CLAIBORNE MARKET,2349 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.801162595894 30.071416277476),380878,"LOUIS VIAVANT BOAT HARBOVIAVANT, GEORGE L",CHEF HARBOR,21135 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-662-5511,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.10071116496 29.951430346835),380870,CAPSTONE 118 INC,CAPSTONE 118,4035 WASHINGTON AVE,,NEW ORLEANS,LA,70125,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.009551503804 30.011552259434),381130,TEX MART INC,TEX MART,6733 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-333-6282,1101 - CONVENIENCE STORES
POINT (-90.096759500936 29.929135085263),381001,"DAVID Y. MARTIN JR., LLC",MARTIN WINE CELLAR,3827 BARONNE ST,,NEW ORLEANS,LA,70115,504-897-0191,1101 - CONVENIENCE STORES
POINT (-90.051260302514 29.950789428731),380927,"FAUBOURG FRESH MARKET, LLC",FAUBOURG FRESH MARKET,541 BERMUDA ST,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.118713740516 29.916084770997),381128,UPTOWN GAS STATION MANAGLLC,TCHOUP-STOP,5600 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-595-3112,1101 - CONVENIENCE STORES
POINT (-89.989134921084 30.04670832449),380945,HABIBI GROCERY L.L.C.,HABIBI GROCERY,9530 HAYNE BLVD,,NEW ORLEANS,LA,70127,504-220-8250,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),380940,GENTILLY FOOD MART INC,GENTILLY FOOD MART INC,1929 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.068895456545 29.95962519443),381044,P & J OYSTER CO,P & J OYSTER CO,1039 TOULOUSE ST,,NEW ORLEANS,LA,70112,504-523-2651,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.08288634294 29.971298506486),381042,ORLEANS CENTER MARKET LLC,ORLEANS CENTER MARKET,2707 ORLEANS AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.061142064221 29.95874955114),381100,SIDNEY'S LLC,SIDNEY'S WINE CELLAR,917 DECATUR ST,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.09173668005 29.919281850904),380829,"BARCIA'S GROCERY INC    ORGANO, ANN B",BARCIA'S GROCERY INC,3633 ANNUNCIATION ST,,NEW ORLEANS,LA,70115-1306,504-899-9111,1101 - CONVENIENCE STORES
POINT (-90.073182612543 29.943511889095),380885,"CIRCLE K STORES, INC.",CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES
POINT (-90.082568661226 29.942860681516),381052,PROJECT FOOD STORE      #2 INC,PROJECT FOOD STORE #2,2238 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-586-1762,1101 - CONVENIENCE STORES
POINT (-90.068615888491 29.953830693614),381146,SAM & SONS INC.,UNIQUE GENERAL STORE,127 ROYAL ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.090161901843 29.937801891841),380935,JENNEFER TRAN INC,FRIENDLY SUPERMARKET,2704 LA SALLE ST,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-89.989427025353 30.024450327616),380974,LA FOOD INC,LA FOOD,5200 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-638-1350,1101 - CONVENIENCE STORES
POINT (-90.067049441458 29.974737015023),380904,P & N ENTERPRISES INC,DANNY'S PACKAGE LIQUOR & SEAFOOD MKT,1812 ONZAGA ST,,NEW ORLEANS,LA,70116,504-949-8666,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),381113,MAGNOLIA ENTERPRISES INC,ST. CHARLES MARKET,303 ST. CHARLES AVE,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.011105556545 29.959686103792),381033,M & J FOOD STORE INC,NOLA VILLAGE MARKET,6100 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-377-0670,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.021155486716 30.034317301373),380950,ASEL INC,HAYNE SUPERMARKET,6318 HAYNE BLVD,,NEW ORLEANS,LA,70126,504-244-9739,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.085893105983 29.945171053157),380849,AZZAM INC,BROTHERS DISCOUNT,2701 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-525-5300,1101 - CONVENIENCE STORES
POINT (-90.034917792075 30.001839081852),380907,BINH VAN CORPORATION,DAY & NIGHT DISCOUNT,4039 LOUISA ST,B,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.007948358098 29.918707807633),381137,TIGER MART LLC.,TIGER MART,3450 KABEL DR,,NEW ORLEANS,LA,70131,504-394-0240,1101 - CONVENIENCE STORES
POINT (-89.991699695334 30.02762875068),380850,CROWDER BROTHERS LLC,BROTHERS FOOD MART  NO 132,5701 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-366-2413,1101 - CONVENIENCE STORES
POINT (-90.072379747629 29.971765108012),380911,2 NY FASHIONS INC,DISCOUNT EXPRESS,2000 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-433-8600,1101 - CONVENIENCE STORES
POINT (-90.090253277829 29.948293294504),381014,MOUSA INC,MOUSA'S GROCERY,3208 THALIA ST,,NEW ORLEANS,LA,70125,504-324-7586,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.073399463627 29.961144757696),380934,FRENCH QUATER FOOD MART,FRENCH QUATER FOOD MART,1534 SAINT LOUIS ST,A,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
POINT (-90.025441724898 29.927311712994),380906,"DAT'S CAJUN SEAFOOD, LLC",DAT'S CAJUN SEAFOOD,3020 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-362-8252,1104 - FISH & SEAFOOD MARKETS
POINT (-90.091054336351 29.931805891715),380846,"PARKS, EDWARD",BROTHER CORNER GROCERY,3201 DRYADES ST,,NEW ORLEANS,LA,70115,504-891-0275,1101 - CONVENIENCE STORES
POINT (-90.089290585975 29.946442822093),380909,T & HO LLC,DISCOUNT CITY,2013 S CLAIBORNE AVE,D,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
POINT (-90.077627154369 29.980972783999),380939,GENTILLY FOOD MART INC,GENTILLY FOOD MART,1629 GENTILLY BLVD,,NEW ORLEANS,LA,70119,504-453-8407,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.080588160646 29.934384078034),381111,BROTHERS PETROLEUM LLC,ST CHARLES 155,2139 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),380821,"HESS WAYNE B            ENGERON, DANIEL J",AMERICAN SEAFOOD INC,3034 HAVANA ST,,NEW ORLEANS,LA,70122,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.077682298641 29.976371599768),380981,"LAVA SUPERMARKET, INC",LAVA SUPERMARKET,1410 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.070068409211 29.9297687441),380882,KAWTHAR ESMAIL,CHIPPEWA FOOD STORE,1684 CHIPPEWA ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.117599871971 30.005572416608),381161,WEST HARRISON DELI & MARKET LLC,WEST HARRISON DELI & MARKET,206 W HARRISON AVE,,NEW ORLEANS,LA,70124,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.080638228044 29.974466255347),381084,S EXPRESS FOOD STORE LLC,S EXPRESS FOOD STORE,2703 URSULINES AVE,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.079916568456 29.944893970647),381147,UPTOWN DISCOUNT STORE INC,UPTOWN DISCOUNT STORE,1141 SIMON BOLIVAR AVE,,NEW ORLEANS,LA,70113,504-610-7162,1101 - CONVENIENCE STORES
POINT (-89.97902656146 30.051703843972),380873,CASTNET SEAFOOD INC,CASTNET,10826 HAYNE BLVD,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.014464227185 29.920483535643),381079,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #36(DE GAULLE),4001 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,985-447-5998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.980786717109 30.042348592751),381063,TBN SEAFOOD CORPORATION,READ SEAFOOD,7340 READ BLVD,,NEW ORLEANS,LA,70127,504-377-8892,1101 - CONVENIENCE STORES
