the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.067742315758 29.97710586579),1155033,GOOD TIMES WINGERY CAFE,2001 ST BERNARD AVE,A-1,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GOOD TIMES WINGERY CAFE,3681518.86741,539377.467018
POINT (-90.071341486204 29.953024746703),1155169,LEGACY KITCHEN,817 COMMON ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LEGACY NOLA #2,LLC",3680475.86792,530608.104258
POINT (-90.064866220121 29.958973022211),1154700,BOURBON ORLEANS WYNDHAM HOTEL,717 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-830-4292,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ST ANN LODGING LLC,3682502.39119,532793.756676
POINT (-90.059980588928 29.960024699721),1154989,FLAMBO BURGERS-BAR,1101 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FLAMBO BURGERS-BAR, LLC",3684045.14012,533193.34394
POINT (-90.12746777686 29.949733311185),1154815,CHILANGOS BAR & GRILL,1506 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHILANGOS BAR & GRILL INC,3662715.36954,529219.816769
POINT (-90.098082688519 29.977649541777),1154987,FIVE GUYS,421 N CARROLLTON AVE,A-1,NEW ORLEANS,LA,70119,504-482-6554,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JUBILEE NEW ORLEANS LLC,3671911.40999,539470.348682
POINT (-90.066915076304 29.928832320578),1154927,DOMINO'S PIZZA #5235,1701 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,504-523-4911,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),R P M PIZZA INC,3681974.77199,521826.331322
POINT (-90.076989294557 29.951922709288),1154850,COFFEE SCIENCE,410 S BROAD STREET,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"TOMMY'S CUSTOM COFFEE, LLC",3678691.8167,530187.70942
POINT (-90.061746073526 30.023770688649),1154723,BURGER KING REST #375,6332 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-949-5100,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),BROOKS RESTAURANTS INC,3683228.87426,556367.630746
POINT (-90.076989294557 29.951922709288),1155629,TASTEE # 77,901-903 HARRISON AVE,,NEW ORLEANS,LA,70124,504-737-1808,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TASTEE #38, LLC.",3678691.8167,530187.70942
POINT (-90.104334296604 29.935070244595),1155659,THE HIGH HAT RESTAURANT,4500 FRERET ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE HIGH HAT RESTAURANT LLC,3670098.31937,523965.61222
POINT (-90.076022653667 29.955466371932),1155794,WOW CAFE,1415 TULANE AVE,,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CV TMC LLC,3678983.77896,531479.673603
POINT (-90.079182579827 29.975395308063),1155347,ORCHID SEAFOOD,1201 N BROAD ST,,NEW ORLEANS,LA,70119,504-957-5582,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ORCHID SEAFOOD LLC,3677903.85576,538715.620041
POINT (-90.108498233249 30.005022626404),1155153,LAKEVIEW PEARL,6300 CANAL BLVD,STE A,NEW ORLEANS,LA,70124,504-810-8270,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LAKEVIEW PEARL, LLC",3668507.6082,549388.901651
POINT (-90.068890693808 29.978904126746),1155075,HUNAN WOK,2201 ST BERNARD AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),GUANG QUAN SHI,3681148.09186,540027.368971
POINT (-90.098778084744 29.920903754452),1155504,SAFFRON NOLA,4128 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ASHWIN, INC.",3671913.58356,518833.076471
POINT (-90.071884233927 29.945729118608),1155723,TRUE FOOD KITCHEN,801 ST CHARLES AVE,,NEW ORLEANS,LA,70130,347-495-5913,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FRC BALANCE, LLC",3680333.20693,527953.254015
POINT (-90.059115689952 29.960708857285),1155195,LOWER D SPORTS SALOON,1200 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LOWER D GROUP LLC,3684316.2342,533445.172804
POINT (-90.071479147078 29.954469585769),1155029,GOLDEN WALL RESTAURANT,914 CANAL ST,,NEW ORLEANS,LA,70112,504-523-3230,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DOWNTOWN GOURMET,INC",3680426.49019,531133.020802
POINT (-90.089487055463 29.963691701016),1155689,THE RUBY SLIPPER CAFE,315 S BROAD ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RSC BROAD ST,LLC",3674687.7492,534424.180933
POINT (-90.059011955353 29.990122565734),1154721,BURGER KING #5888,3102 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-949-5100,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),BROOKS RESTAURANTS INC,3684230.12796,544141.465486
POINT (-90.068669010201 29.95197776905),1155458,"RED GRAVY, LLC",125 CAMP ST,,NEW ORLEANS,LA,70118,504-561-8844,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RED GRAVY, LLC",3681326.34076,530236.715137
POINT (-90.079231892309 29.934769287448),1155653,THE EIFFEL SOCIETY,2040 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LVX NEW ORLEANS LLC,3678049.93326,523942.318268
POINT (-90.011943965055 29.960596929452),1155557,ST. CLAUDE INTERNET CAFE LLC,6001 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-942-2023,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ST. CLAUDE INTERNET CAFE LLC,3699252.98013,533573.644165
POINT (-90.094492935713 29.921261474468),1155391,PHO CAM LY,3814 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-644-4228,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ADEN & SARAH INC,3673269.55995,518977.806711
POINT (-90.10500937604 29.983088304697),1155286,MOPHO MID-CITY,514 CITY PARK AVE,STE F,NEW ORLEANS,LA,70119,504-810-6145,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MOPHO GROUP LLC,3669697.3273,541424.52334
POINT (-90.10238926156 29.916910432707),1155493,ROUSES MARKET #26,4500 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-896-7910,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ROUSE'S ENTERPRISES, LLC",3670785.29063,517368.653621
POINT (-90.113398247913 30.025818416901),1155643,THE BLUE CRAB RESTAURANT & OYSTER BAR,7900 LAKESHORE DR,,NEW ORLEANS,LA,70124,504-473-7403,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LAKEVIEW LANDINGS, LLC",3666876.25191,556934.571034
POINT (-90.134575584473 29.943094751057),1155162,LE CROISSANT CAFE,8100 ST CHARLES AVE,,NEW ORLEANS,LA,70118,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),DAB INTERESTS INC,3660489.76742,526782.162494
POINT (-90.077561280421 29.928965200227),1155182,LITTLE KOREA BBQ,2240 MAGAZINE ST,STE 103,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FUKI SUSHI LLC,3678602.17992,521837.538234
POINT (-90.112998773662 29.947429826046),1155433,PYRAMIDS CAFE,3151 CALHOUN ST,,NEW ORLEANS,LA,70125,504-861-9602,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"HILMI, INC",3667306.24212,528430.691264
POINT (-90.068047235114 29.956326644404),1154986,FISHBOWLS SOLD HERE,806 CONTI ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SWEET THINGS OF LOUISIANA, INC",3681505.77237,531820.299587
POINT (-90.06746963407 29.950841421164),1155435,R & E MAGAZINE LLC,212 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),R & E FOOD & SPIRITS,3681710.70607,529827.691265
POINT (-90.075070082075 29.95317032065),1155065,HOLIDAY INN DTN SUPERDOME,330 LOYOLA AVE,,NEW ORLEANS,LA,70112,504-581-1600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CIVIC CNTR SITE DEV, LLC",3679294.58299,530648.055362
POINT (-90.06127010916 29.958616505851),1155788,WILLIE'S CHICKEN SHACK,911 DECATUR ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WILLIE'S DECATUR LLC,3683642.51221,532676.737668
POINT (-90.127799225436 29.949823350717),1154701,BOURREE,8115  JEANNETTE ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ROCKETS LLC,3662610.06419,529251.454273
POINT (-90.004185844065 29.932069088996),1155664,THE KITCHEN,4801 GENERAL MEYER AVE,E,NEW ORLEANS,LA,70131,504-912-4988,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BRUCE P ROLLINS JR,3701829.81098,523228.361979
POINT (-90.076989294557 29.951922709288),1155740,VIEUX CARRE PIZZA,733 SAINT LOUIS ST,,NEW ORLEANS,LA,70130,504-529-1999,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),ASHRAF AWADALLA,3678691.8167,530187.70942
POINT (-90.047942712438 29.962548354624),1154727,BYWATER AMERICAN BISTRO,2900 CHARTRES ST,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"522 RESTAURANT,LLC",3687846.50607,534153.595013
POINT (-90.069201103062 29.954831052558),1155219,MANGOMANGO - BE,201 BOURBON ST,,NEW ORLEANS,LA,70130,504-586-0406,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),BOURBON SALOON INC,3681146.39893,531272.414338
POINT (-90.078767327849 29.935606168275),1155700,THE TROLLEY STOP CAFE,1923 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-523-0090,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"THE TROLLEY STOP, INC.",3678193.73794,524248.24902
POINT (-89.914941749036 30.035707893969),1155348,ORIENT RESTAURANT #2,14207 CHEF MENTEUR HWY,STE: 4,NEW ORLEANS,LA,70129,504-254-0296,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ORIENT DONG PHUONG RESTAURANT INC,3729629.10406,561253.699038
POINT (-90.075050028908 29.94006765026),1155294,MR ED'S SEAFOOD & OYSTER HOUSE,1327 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"1327 ST CHARLES AVE,LLC",3679353.25493,525883.514813
POINT (-90.05765579375 29.963689040391),1154893,DAT DOGS,601 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DAT DOGS ENTERPRISES LLC,3684766.42652,534534.020357
POINT (-90.044868353015 29.96757445389),1155461,RED'S CHINESE,3048 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,646-515-0538,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ST. JAQUES RESTAURANT GROUP LLC,3688799.39094,535992.201095
POINT (-90.066679046878 29.954396481724),1155656,THE GOVERNOR,301 CHARTRES ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CCRC 301 CHARTRES LLC,3681946.76949,531123.208002
POINT (-90.09968286588 29.975910601386),1154923,DOMINO'S PIZZA #5212,215 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-488-6661,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),RPM PIZZA INC,3671411.62715,538832.544393
POINT (-90.070033208846 29.951946172854),1155745,VINTAGE GARDEN KITCHEN,201  SAINT CHARLES AVE,STE #215,NEW ORLEANS,LA,70170,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"LJTIII,LLC",3680894.4733,530220.460225
POINT (-90.071182335662 29.94993606098),1155551,SQUARE ONE RESTAURANT,701 POYDRAS ST,122,NEW ORLEANS,LA,70139-0003,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LE'S ENTERPRISE INC     LE, BAT V",3680538.63643,529485.499841
POINT (-90.077972507229 29.957047032481),1155048,HANDSOME WILLY'S CAFE,220 S ROBERTSON ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),HANDSOME WILLY'S CAFE LLC,3678360.05237,532047.690883
POINT (-90.065903472564 29.953582884153),1154773,CARRE RESTAURANT AND BAR,239 DECATUR ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE MUSE GROUP,LLC",3682195.63317,530830.069826
POINT (-90.068106436392 29.957383930982),1154662,BAYONA,430 DAUPHINE ST,,NEW ORLEANS,LA,70112,504-568-9591,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAYONA CORPORATION,3681482.78082,532204.560835
POINT (-90.07467813417 29.957304591878),1155578,SUBWAY,1409 CANAL ST,,NEW ORLEANS,LA,70112,504-522-4373,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SANGSAMI ENTERPRISE LLC,3679402.18363,532152.792771
POINT (-90.047862159088 29.968721293461),1155419,POKE-CHAN,2809 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ONO GROUP,LLC",3687846.82927,536398.587591
POINT (-90.026274160881 30.031961909501),1155549,SOUTHSHORE GRILL,7929 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CHARLIE MOSER, INC",3694419.49942,559472.581853
POINT (-90.076989294557 29.951922709288),1155037,GRAND ISLE PARTNERS,575 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,504-520-8530,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GRAND ISLE PARTNERS LLC,3678691.8167,530187.70942
POINT (-90.112184917723 29.916400605885),1155204,LUVI,5236 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PISCES RESTAURANT GROUP, LLC",3667684.22401,517150.059509
POINT (-90.113388312174 30.026211182543),1155157,LANDRY'S SEAFOOD HOUSE,8000 LAKESHORE DR,,NEW ORLEANS,LA,70124,713-850-1010,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LANDRY'S SEAFOOD HOUSE - NEW ORLEANS, INC",3666877.87514,557077.430426
POINT (-90.114271130167 30.021403407771),1155499,RUSSELL'S MARINA GRILL,8555 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,504-282-9980,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PAVLOS INC,3666617.12474,555326.148249
POINT (-90.132299651556 29.941824591005),1155744,VINCENT'S ITALIAN CUISINE,7839 ST CHARLES AVE,,NEW ORLEANS,LA,70118,504-866-9313,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THAT'S AMORE INC,3661215.3856,526327.831486
POINT (-90.054206857653 30.028183997923),1155517,SASSAFRAS RESTAURANT,6600 FRANKLIN AVE,#B4,NEW ORLEANS,LA,70122,504-554-1810,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SASSAFRAS RESTAURANT, LLC",3685596.64431,557999.040667
POINT (-90.062878934436 29.947716532787),1155285,"MOOYAH BURGERS,FRIES & SHAKES",500 PORT OF NEW ORLEANS PL,STE 238,NEW ORLEANS,LA,70130,504-324-3977,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),GET MOOLAH LLC,3683177.03471,528707.457664
POINT (-90.067067955275 29.954005583871),1155126,JUSTINE,225 CHARTRES ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"221 CHARTRES,LLC",3681825.18997,530979.702338
POINT (-90.101710763138 29.926288401861),1155609,SUPERIOR SEAFOOD,4338 ST CHARLES AVE,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SUPERIOR  SEAFOOD & OYSTER BAR, LLC.",3670963.56865,520781.133241
POINT (-90.003432390072 29.931801966673),1154922,DOMINO'S PIZZA #5210,4855 GENERAL MEYER AVE,,NEW ORLEANS,LA,70131,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),RPM PIZZA INC,3702069.57719,523133.996411
POINT (-90.084832300615 29.925038666685),1155114,JOEY K'S RESTAURANT,3001 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-891-0997,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MAGAZINE ST LTD INC,3676314.72635,520384.54284
POINT (-90.064606764668 30.029000546539),1154795,CHARTWELLS DINING SERVICES,2000 ALUMNI DR,102,NEW ORLEANS,LA,70148,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"COMPASS GROUP USA, INC",3682302.58831,558259.384604
POINT (-89.97902656146 30.051703843972),1154778,CASTNET,10826 HAYNE BLVD,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS,CASTNET SEAFOOD INC,3709284.21726,566825.118244
POINT (-90.060788627365 29.959342085246),1155350,ORIGINAL FRENCH MKT REST & BAR,1001 DECATUR ST,,NEW ORLEANS,LA,70116,504-581-9855,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FRENCH MARKET REST & BAR INC,3683792.03996,532942.277764
POINT (-90.104923265591 29.935278605775),1154655,BAR FRANCES,4525 FRERET ST,STE:107,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAR FRANCES LLC,3669910.96897,524039.379836
POINT (-90.053984819428 29.969017958654),1155131,KEBAB,2315 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-432-1062,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KEBAB NOLA LLC,3685907.1215,536484.770567
POINT (-90.10084163758 29.973791584912),1155122,JUANS FLYING BURRITO,4724 S CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-569-0000,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JUANS FLYING BURRITO LLC,3671053.05991,538058.039753
POINT (-90.103261861778 29.920570455513),1154901,DEL FUEGO TAQUERIA,4518 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FDSQUARED LLC,3670494.58324,518696.602167
POINT (-90.076989294557 29.951922709288),1155572,STREET CAR POBOY & SEAFOOD CO,1610 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"1610 ST CHARLES AVE, LLC",3678691.8167,530187.70942
POINT (-90.005348938229 29.914429769658),1155154,LAKEWOOD GOLF CLUB,4801 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-393-2610,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LAKEWOOD RESTORATION PTNLTD,3701535.76759,516809.852661
POINT (-90.076542660748 29.929630409572),1155356,P.J.'S COFFEE,2140 MAGAZINE ST,,NEW ORLEANS,LA,70130,(504)234-0282,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),WHERE'S THE WATERMELON LLC,3678922.16245,522082.969594
POINT (-90.060878638485 29.962203541969),1155277,MONA LISA RESTAURANT,1212 ROYAL ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MARY MALES, LLC",3683751.98396,533982.492229
POINT (-90.093993847044 29.963537027207),1155765,WE-GO WINGS LLC,2931 TULANE AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WE-GO WINGS LLC,3673261.37902,534352.473413
POINT (-90.104550802761 29.929238142512),1154998,FRENCH TRUCK COFFEE,4536 DRYADES ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FRENCH TRUCK,LLC",3670052.4905,521844.109242
POINT (-90.011328030496 29.919653313113),1155623,TACO BELL #34450,4300 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SOUTHEAST RESTAURANT GROUP-TB, LLC",3699619.78263,518687.402615
POINT (-90.105942667467 29.956525954909),1154729,C & A SEAFOOD,1429 S JEFFERSON DAVIS PKWY,,NEW ORLEANS,LA,70125,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ANTHONY VO,LLC",3669505.34279,531762.255491
POINT (-90.06527140475 29.95571429726),1155352,ORIGINAL PIERRE MASPEROS,440 CHARTRES ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PIERRE MASPERO'S, LLC",3682387.20623,531607.344387
POINT (-90.009340545976 29.964582195816),1154762,CAJUN JOE'S SEAFOOD,6024 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-942-0202,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THANH CHAU CORPORATION,3700060.5704,535032.34247
POINT (-90.052441842453 29.968696145549),1154958,EM TRAI SANDWICH COMPANY,2372 ST CLAUDE AVE,STE 130,NEW ORLEANS,LA,70117,504-858-6338,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WHITE RICE, LLC",3686396.95228,536373.205191
POINT (-90.111279780207 29.964078560316),1155081,IHOP #3662,3511 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RUBY XV, LLC",3667786.04628,534490.610053
POINT (-90.042853529368 29.963832058083),1155518,SATSUMA,3218 DAUPHINE ST,,NEW ORLEANS,LA,70117,504-261-8415,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),PETIT BOURGEOISIE LLC,3689452.64041,534638.50855
POINT (-90.01303687779 29.922889141731),1154952,EL PASO MEXICAN GRILL,3010 HOLIDAY DR,,NEW ORLEANS,LA,70131,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MEXICO LLC,3699064.92029,519857.816056
POINT (-90.098499997519 29.97342721987),1154767,CANAL STREET BISTO,3903 CANAL ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CSB, LLC",3671795.84308,537933.524297
POINT (-90.018718379912 29.961663778087),1155514,SANTANESSE'S SOUL SECRETS,5340 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SANTANESSE'S SOUL SECRETS,LLC",3697103.50608,533936.914885
POINT (-90.073394330908 29.944175832591),1155323,NOCHI CAFE BY GRACIOUS,725 HOWARD AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LITTLE DRAGON LLC,3679861.19272,527383.161151
POINT (-90.074932984957 29.948683736936),1155648,THE COMPANY BURGER,611 OKEEFE AVE,C-7,NEW ORLEANS,LA,70113,404-514-6437,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COBU2 LLC,3679355.91375,529017.045504
POINT (-90.128000296928 29.940450826086),1155386,PHILLIPS BAR & RESTAURANT,733 CHEROKEE ST,,NEW ORLEANS,LA,70118-5051,504-865-1155,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"PHILLIPS BAR & RESTAURANT, INC",3662582.24192,525842.575293
POINT (-90.130264751893 29.947148508195),1154955,EL TACO LOCO LLC,1120 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),EL TACO LOCO LLC,3661839.50963,528270.572416
POINT (-89.958974997443 30.046632354056),1155082,IHOP - INTERNATIONAL HOUSE OF PANCAKES,12150 I 10 E SERVICE RD,,NEW ORLEANS,LA,70128,504-240-8585,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JAMAL & KAMAL,INC",3715649.55538,565056.46013
POINT (-90.072965045282 29.950987104885),1154899,DEES COFFEE & COPY,401 BARONNE ST,,NEW ORLEANS,LA,70112,504-231-6913,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DUPLICATE & DISPATCH, LLC",3679969.89903,529861.484161
POINT (-90.062491190277 29.999517118141),1154885,DADDY'S DONUTS,2051 CATON ST,STE A,NEW ORLEANS,LA,70122,504-283-3388,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CARLTON, III GEORGE B.",3683090.90908,547545.456402
POINT (-90.057835335742 29.96240536559),1155736,VASO,1407 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VASO LLC,3684714.77468,534066.596421
POINT (-90.118713740516 29.916084770997),1155773,WENDY'S #235,5600 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"HAZA FOODS OF LOUISIANA, LLC",3665617.2457,517013.228213
POINT (-90.059774469313 29.996795178641),1155705,THE YARD GRILL AND BAR,2164 MILTON ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE YARD GRILL AND BAR LLC,3683961.79029,546565.201105
POINT (-90.074786691253 29.950719565469),1155759,WALK-ON'S BISTREAUX & BAR NEW ORLEANS,1009 POYDRAS ST,STE #A,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"W.O. 70112,LLC",3679394.11055,529757.856321
POINT (-90.110123652129 29.984452084401),1155436,RAGIN CAJUN DELI,5151 CANAL BLVD,STE #B,NEW ORLEANS,LA,70124,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RAGIN CAJUN DELI,LLC",3668073.01997,541903.128012
POINT (-90.08423672299 29.928836707661),1154852,COMMANDERS PALACE INC,1403 WASHINGTON AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COMMANDERS PALACE INC,3676488.32053,521767.703226
POINT (-90.093300987227 29.963205894998),1154683,BIG TASTEE RESTAURANT,2901 TULANE AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BTBG LLC,3673482.06177,534234.434373
POINT (-90.026494237756 30.032295872082),1155333,OCEAN SEAFOOD & RESTAURANT,8009 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-240-4195,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PIK QWIK FOOD STORE INC,3694348.48003,559593.229533
POINT (-90.078498712497 29.956458611657),1155393,PHO TAU BAY RESTAURANT,1565 TULANE AVE,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"VUTAK,LLC",3678195.77326,531831.894019
POINT (-90.051027304691 29.965703269776),1155655,THE FRANKLIN,2600 DAUPHINE ST,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE FRANKLIN RESTAURANT LLC,3686856.99055,535289.894918
POINT (-90.066296307855 29.944808973076),1155560,STACKS RESTAURANT,315 JULIA ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"STONEBRIDGES ES NOLA MANAGER, LLC",3682106.51797,527638.180735
